Name,NumTransforms,NumRestrictions,NumNegatedRestrictions,NumSteps, Time
first-position,10,0,0,4,310
second-position,12,0,0,6,355
third-position,4,0,0,4,230
fourth-position-en-avant,4,2,0,5,298
fourth-position-en-haunt,4,0,0,5,292
fifth-position-en-avant,4,0,0,4,224
fifth-position-en-haunt,4,0,0,4,215
a-la-quatrieme-devant,3,4,0,4,219
a-la-quatrieme-derriere,3,4,0,4,216
a-la-seconde,5,0,0,4,212
generic-left-punch,0,2,0,2,141
ola,8,0,0,5,293
uuuuuh,0,2,0,2,111
starting,22,6,2,5,294
parting-the-wild-horses-mane,17,4,2,12,672
white-crane-spread-wings,4,8,1,3,170
brush-knee,46,7,0,12,704
brush-knee-manual-interpolation-11,4,0,0,11,669
brush-knee-manual-interpolation-10,4,0,0,10,602
brush-knee-manual-interpolation-9,4,0,0,9,527
brush-knee-manual-interpolation-8,4,0,0,8,472
brush-knee-manual-interpolation-7,4,0,0,7,407
brush-knee-manual-interpolation-6,4,0,0,6,348
brush-knee-manual-interpolation-5,4,0,0,5,295
brush-knee-manual-interpolation-4,4,0,0,4,234
brush-knee-manual-interpolation-3,4,0,0,3,172
brush-knee-manual-interpolation-2,4,0,0,2,115
brush-knee-manual-interpolation-1,4,0,0,1,56
play-the-lute,8,1,0,2,158
sample-gesture,0,3,0,15,1009
pendulum,16,0,0,10,35809
crossover-left-arm-stretch,6,1,0,2,138
crossover-right-arm-stretch,2,1,0,2,143
passive-external-rotation,8,0,0,4,274
elbows-flexion,4,0,0,4,275
elbows-extension,6,2,0,4,1110
head-rolls,4,0,0,12,923
standing-quadriceps-stretch,5,2,0,4,285
half-squats,18,0,0,4,288
shoulder-abduction,6,0,0,11,51179
shoulder-adduction,2,0,0,11,51276
