
Name,ElapsedTime,NumGestures,NumPoses,NumTotalRestrictions,NumTotalNegatedRestrictions,NumTotalTransforms, NumTotalTransformedJoints,NumSteps,NumConflicts
ballet,10,16,10,0,53,49,44,44,515

NameG1*NameG2,NumPosesG1,NumRestrictionsG1,NumNegatedRestrictionsG1,NumTransformsG1,NumStepsG1,NumDistinctJointsG1,NumPosesG2,NumRestrictionsG2,NumNegatedRestrictionsG2,NumTransformsG2,NumStepsG2,NumDistinctJointsG2,Conflict,NumPivots,ElapsedTime
first-position*second-position,4,0,0,10,4,10,3,0,0,12,6,8,True,0,0
first-position*third-position,4,0,0,10,4,10,1,0,0,4,4,4,True,0,0
first-position*fourth-position-en-avant,4,0,0,10,4,10,2,2,0,4,5,4,True,2,5
first-position*fourth-position-en-haunt,4,0,0,10,4,10,1,0,0,4,5,4,True,2,7
first-position*fifth-position-en-avant,4,0,0,10,4,10,1,0,0,4,4,4,True,0,1
first-position*fifth-position-en-haunt,4,0,0,10,4,10,1,0,0,4,4,4,True,0,1
first-position*a-la-quatrieme-devant,4,0,0,10,4,10,1,4,0,3,4,3,True,0,2
first-position*a-la-quatrieme-derriere,4,0,0,10,4,10,1,4,0,3,4,3,True,0,2
first-position*a-la-seconde,4,0,0,10,4,10,1,0,0,5,4,5,True,0,0
second-position*third-position,3,0,0,12,6,8,1,0,0,4,4,4,True,0,0
second-position*fourth-position-en-avant,3,0,0,12,6,8,2,2,0,4,5,4,True,2,7
second-position*fourth-position-en-haunt,3,0,0,12,6,8,1,0,0,4,5,4,True,2,6
second-position*fifth-position-en-avant,3,0,0,12,6,8,1,0,0,4,4,4,True,0,0
second-position*fifth-position-en-haunt,3,0,0,12,6,8,1,0,0,4,4,4,True,0,0
second-position*a-la-quatrieme-devant,3,0,0,12,6,8,1,4,0,3,4,3,True,0,2
second-position*a-la-quatrieme-derriere,3,0,0,12,6,8,1,4,0,3,4,3,True,0,1
second-position*a-la-seconde,3,0,0,12,6,8,1,0,0,5,4,5,True,0,0
third-position*fourth-position-en-avant,1,0,0,4,4,4,2,2,0,4,5,4,True,2,6
third-position*fourth-position-en-haunt,1,0,0,4,4,4,1,0,0,4,5,4,True,2,6
third-position*fifth-position-en-avant,1,0,0,4,4,4,1,0,0,4,4,4,True,0,0
third-position*fifth-position-en-haunt,1,0,0,4,4,4,1,0,0,4,4,4,True,0,0
third-position*a-la-quatrieme-devant,1,0,0,4,4,4,1,4,0,3,4,3,True,0,2
third-position*a-la-quatrieme-derriere,1,0,0,4,4,4,1,4,0,3,4,3,True,0,1
third-position*a-la-seconde,1,0,0,4,4,4,1,0,0,5,4,5,True,0,1
fourth-position-en-avant*fourth-position-en-haunt,2,2,0,4,5,4,1,0,0,4,5,4,True,2,5
fourth-position-en-avant*fifth-position-en-avant,2,2,0,4,5,4,1,0,0,4,4,4,True,2,5
fourth-position-en-avant*fifth-position-en-haunt,2,2,0,4,5,4,1,0,0,4,4,4,True,2,5
fourth-position-en-avant*a-la-quatrieme-devant,2,2,0,4,5,4,1,4,0,3,4,3,True,4,6
fourth-position-en-avant*a-la-quatrieme-derriere,2,2,0,4,5,4,1,4,0,3,4,3,True,4,6
fourth-position-en-avant*a-la-seconde,2,2,0,4,5,4,1,0,0,5,4,5,True,2,5
fourth-position-en-haunt*fifth-position-en-avant,1,0,0,4,5,4,1,0,0,4,4,4,True,2,6
fourth-position-en-haunt*fifth-position-en-haunt,1,0,0,4,5,4,1,0,0,4,4,4,True,2,5
fourth-position-en-haunt*a-la-quatrieme-devant,1,0,0,4,5,4,1,4,0,3,4,3,True,4,6
fourth-position-en-haunt*a-la-quatrieme-derriere,1,0,0,4,5,4,1,4,0,3,4,3,True,4,6
fourth-position-en-haunt*a-la-seconde,1,0,0,4,5,4,1,0,0,5,4,5,True,2,5
fifth-position-en-avant*fifth-position-en-haunt,1,0,0,4,4,4,1,0,0,4,4,4,True,0,1
fifth-position-en-avant*a-la-quatrieme-devant,1,0,0,4,4,4,1,4,0,3,4,3,True,0,2
fifth-position-en-avant*a-la-quatrieme-derriere,1,0,0,4,4,4,1,4,0,3,4,3,True,0,1
fifth-position-en-avant*a-la-seconde,1,0,0,4,4,4,1,0,0,5,4,5,True,0,0
fifth-position-en-haunt*a-la-quatrieme-devant,1,0,0,4,4,4,1,4,0,3,4,3,True,0,2
fifth-position-en-haunt*a-la-quatrieme-derriere,1,0,0,4,4,4,1,4,0,3,4,3,True,0,2
fifth-position-en-haunt*a-la-seconde,1,0,0,4,4,4,1,0,0,5,4,5,True,0,0
a-la-quatrieme-devant*a-la-quatrieme-derriere,1,4,0,3,4,3,1,4,0,3,4,3,True,0,3
a-la-quatrieme-devant*a-la-seconde,1,4,0,3,4,3,1,0,0,5,4,5,True,0,2
a-la-quatrieme-derriere*a-la-seconde,1,4,0,3,4,3,1,0,0,5,4,5,True,0,2

Name,ElapsedTime,NumGestures,NumPoses,NumTotalRestrictions,NumTotalNegatedRestrictions,NumTotalTransforms, NumTotalTransformedJoints,NumSteps,NumConflicts
simple,1,2,2,0,0,0,2,0,0

NameG1*NameG2,NumPosesG1,NumRestrictionsG1,NumNegatedRestrictionsG1,NumTransformsG1,NumStepsG1,NumDistinctJointsG1,NumPosesG2,NumRestrictionsG2,NumNegatedRestrictionsG2,NumTransformsG2,NumStepsG2,NumDistinctJointsG2,Conflict,NumPivots,ElapsedTime

Name,ElapsedTime,NumGestures,NumPoses,NumTotalRestrictions,NumTotalNegatedRestrictions,NumTotalTransforms, NumTotalTransformedJoints,NumSteps,NumConflicts
soccer,2,4,2,0,8,3,7,1,96

NameG1*NameG2,NumPosesG1,NumRestrictionsG1,NumNegatedRestrictionsG1,NumTransformsG1,NumStepsG1,NumDistinctJointsG1,NumPosesG2,NumRestrictionsG2,NumNegatedRestrictionsG2,NumTransformsG2,NumStepsG2,NumDistinctJointsG2,Conflict,NumPivots,ElapsedTime
ola*uuuuuh,3,0,0,8,5,3,1,2,0,0,2,0,True,15,86

Name,ElapsedTime,NumGestures,NumPoses,NumTotalRestrictions,NumTotalNegatedRestrictions,NumTotalTransforms, NumTotalTransformedJoints,NumSteps,NumConflicts
taichi-gestures,16,43,26,5,141,82,100,120,5235857

NameG1*NameG2,NumPosesG1,NumRestrictionsG1,NumNegatedRestrictionsG1,NumTransformsG1,NumStepsG1,NumDistinctJointsG1,NumPosesG2,NumRestrictionsG2,NumNegatedRestrictionsG2,NumTransformsG2,NumStepsG2,NumDistinctJointsG2,Conflict,NumPivots,ElapsedTime
starting*parting-the-wild-horses-mane,7,6,2,22,5,14,8,4,2,17,12,9,True,29,1265
starting*white-crane-spread-wings,7,6,2,22,5,14,3,8,1,4,3,4,True,21,4236
starting*brush-knee,7,6,2,22,5,14,12,7,0,46,12,6,True,0,-1
starting*brush-knee-manual-interpolation-11,7,6,2,22,5,14,1,0,0,4,11,4,True,0,-1
starting*brush-knee-manual-interpolation-10,7,6,2,22,5,14,1,0,0,4,10,4,True,0,-1
starting*brush-knee-manual-interpolation-9,7,6,2,22,5,14,1,0,0,4,9,4,True,0,-1
starting*brush-knee-manual-interpolation-8,7,6,2,22,5,14,1,0,0,4,8,4,True,0,-1
starting*brush-knee-manual-interpolation-7,7,6,2,22,5,14,1,0,0,4,7,4,True,0,-1
starting*brush-knee-manual-interpolation-6,7,6,2,22,5,14,1,0,0,4,6,4,True,0,-1
starting*brush-knee-manual-interpolation-5,7,6,2,22,5,14,1,0,0,4,5,4,True,0,-1
starting*brush-knee-manual-interpolation-4,7,6,2,22,5,14,1,0,0,4,4,4,True,0,-1
starting*brush-knee-manual-interpolation-3,7,6,2,22,5,14,1,0,0,4,3,4,True,0,-1
starting*brush-knee-manual-interpolation-2,7,6,2,22,5,14,1,0,0,4,2,4,True,0,-1
starting*brush-knee-manual-interpolation-1,7,6,2,22,5,14,1,0,0,4,1,4,True,14,13
starting*play-the-lute,7,6,2,22,5,14,2,1,0,8,2,5,True,14,13
