Name,NumTransforms,NumRestrictions,NumNegatedRestrictions,NumSteps, Time
first-position-interpolated-0,10,0,0,0,0
first-position-interpolated-1,10,0,0,1,58
first-position-interpolated-2,10,0,0,2,54
first-position-interpolated-3,10,0,0,3,82
first-position,10,0,0,4,105
second-position-interpolated-0,12,0,0,0,0
second-position-interpolated-1,12,0,0,1,26
second-position-interpolated-2,12,0,0,2,54
second-position-interpolated-3,12,0,0,3,83
second-position-interpolated-4,12,0,0,4,110
second-position-interpolated-5,12,0,0,5,136
second-position,12,0,0,6,161
third-position-interpolated-0,4,0,0,0,0
third-position-interpolated-1,4,0,0,1,27
third-position-interpolated-2,4,0,0,2,55
third-position-interpolated-3,4,0,0,3,83
third-position,4,0,0,4,106
fourth-position-en-avant-interpolated-0,4,2,0,0,0
fourth-position-en-avant-interpolated-1,4,2,0,1,26
fourth-position-en-avant-interpolated-2,4,2,0,2,52
fourth-position-en-avant-interpolated-3,4,2,0,3,79
fourth-position-en-avant-interpolated-4,4,2,0,4,104
fourth-position-en-avant,4,2,0,5,127
fourth-position-en-haunt-interpolated-0,4,0,0,0,0
fourth-position-en-haunt-interpolated-1,4,0,0,1,25
fourth-position-en-haunt-interpolated-2,4,0,0,2,50
fourth-position-en-haunt-interpolated-3,4,0,0,3,75
fourth-position-en-haunt-interpolated-4,4,0,0,4,120
fourth-position-en-haunt,4,0,0,5,123
fifth-position-en-avant-interpolated-0,4,0,0,0,0
fifth-position-en-avant-interpolated-1,4,0,0,1,25
fifth-position-en-avant-interpolated-2,4,0,0,2,48
fifth-position-en-avant-interpolated-3,4,0,0,3,74
fifth-position-en-avant,4,0,0,4,97
fifth-position-en-haunt-interpolated-0,4,0,0,0,0
fifth-position-en-haunt-interpolated-1,4,0,0,1,25
fifth-position-en-haunt-interpolated-2,4,0,0,2,50
fifth-position-en-haunt-interpolated-3,4,0,0,3,76
fifth-position-en-haunt,4,0,0,4,96
a-la-quatrieme-devant-interpolated-0,3,4,0,0,0
a-la-quatrieme-devant-interpolated-1,3,4,0,1,24
a-la-quatrieme-devant-interpolated-2,3,4,0,2,50
a-la-quatrieme-devant-interpolated-3,3,4,0,3,76
a-la-quatrieme-devant,3,4,0,4,101
a-la-quatrieme-derriere-interpolated-0,3,4,0,0,0
a-la-quatrieme-derriere-interpolated-1,3,4,0,1,33
a-la-quatrieme-derriere-interpolated-2,3,4,0,2,52
a-la-quatrieme-derriere-interpolated-3,3,4,0,3,74
a-la-quatrieme-derriere,3,4,0,4,97
a-la-seconde-interpolated-0,5,0,0,0,0
a-la-seconde-interpolated-1,5,0,0,1,24
a-la-seconde-interpolated-2,5,0,0,2,50
a-la-seconde-interpolated-3,5,0,0,3,75
a-la-seconde,5,0,0,4,97
generic-left-punch-interpolated-0,0,2,0,0,0
generic-left-punch-interpolated-1,0,2,0,1,27
generic-left-punch,0,2,0,2,52
ola-interpolated-0,8,0,0,0,0
ola-interpolated-1,8,0,0,1,26
ola-interpolated-2,8,0,0,2,48
ola-interpolated-3,8,0,0,3,75
ola-interpolated-4,8,0,0,4,100
ola,8,0,0,5,132
uuuuuh-interpolated-0,0,2,0,0,0
uuuuuh-interpolated-1,0,2,0,1,27
uuuuuh,0,2,0,2,54
starting-interpolated-0,22,6,2,0,0
starting-interpolated-1,22,6,2,1,29
starting-interpolated-2,22,6,2,2,50
starting-interpolated-3,22,6,2,3,77
starting-interpolated-4,22,6,2,4,104
starting,22,6,2,5,129
parting-the-wild-horses-mane-interpolated-0,17,4,2,0,0
parting-the-wild-horses-mane-interpolated-1,17,4,2,1,25
parting-the-wild-horses-mane-interpolated-2,17,4,2,2,52
parting-the-wild-horses-mane-interpolated-3,17,4,2,3,88
parting-the-wild-horses-mane-interpolated-4,17,4,2,4,105
parting-the-wild-horses-mane-interpolated-5,17,4,2,5,128
parting-the-wild-horses-mane-interpolated-6,17,4,2,6,156
parting-the-wild-horses-mane-interpolated-7,17,4,2,7,180
parting-the-wild-horses-mane-interpolated-8,17,4,2,8,227
parting-the-wild-horses-mane-interpolated-9,17,4,2,9,274
parting-the-wild-horses-mane-interpolated-10,17,4,2,10,257
parting-the-wild-horses-mane-interpolated-11,17,4,2,11,288
parting-the-wild-horses-mane,17,4,2,12,313
white-crane-spread-wings-interpolated-0,4,8,1,0,0
white-crane-spread-wings-interpolated-1,4,8,1,1,26
white-crane-spread-wings-interpolated-2,4,8,1,2,52
white-crane-spread-wings,4,8,1,3,83
brush-knee-interpolated-0,46,7,0,0,0
brush-knee-interpolated-1,46,7,0,1,30
brush-knee-interpolated-2,46,7,0,2,53
brush-knee-interpolated-3,46,7,0,3,79
brush
