GestureName,PoseName,MatchTime,MatchUID
ola,wrists_down,142,1
uuuuuh,uuuuuh_hands_on_head,74,1
ola,wrists_down,3,2
uuuuuh,uuuuuh_hands_on_head,4,2
ola,wrists_down,3,3
uuuuuh,uuuuuh_hands_on_head,4,3
ola,wrists_down,4,4
uuuuuh,uuuuuh_hands_on_head,4,4
ola,wrists_down,4,5
uuuuuh,uuuuuh_hands_on_head,3,5
ola,wrists_down,4,6
uuuuuh,uuuuuh_hands_on_head,4,6
ola,wrists_down,3,7
uuuuuh,uuuuuh_hands_on_head,4,7
ola,wrists_down,4,8
uuuuuh,uuuuuh_hands_on_head,3,8
ola,wrists_down,3,9
uuuuuh,uuuuuh_hands_on_head,4,9
ola,wrists_down,3,10
uuuuuh,uuuuuh_hands_on_head,4,10
ola,wrists_down,4,11
uuuuuh,uuuuuh_hands_on_head,4,11
ola,wrists_down,3,12
uuuuuh,uuuuuh_hands_on_head,3,12
ola,wrists_down,4,13
uuuuuh,uuuuuh_hands_on_head,4,13
ola,wrists_down,3,14
uuuuuh,uuuuuh_hands_on_head,4,14
ola,wrists_down,3,15
uuuuuh,uuuuuh_hands_on_head,4,15
ola,wrists_down,3,16
uuuuuh,uuuuuh_hands_on_head,4,16
ola,wrists_down,4,17
uuuuuh,uuuuuh_hands_on_head,4,17
ola,wrists_down,3,18
uuuuuh,uuuuuh_hands_on_head,4,18
ola,wrists_down,3,19
uuuuuh,uuuuuh_hands_on_head,4,19
ola,wrists_down,3,20
uuuuuh,uuuuuh_hands_on_head,4,20
ola,wrists_down,3,21
uuuuuh,uuuuuh_hands_on_head,4,21
ola,wrists_down,3,22
uuuuuh,uuuuuh_hands_on_head,4,22
ola,wrists_down,4,23
uuuuuh,uuuuuh_hands_on_head,4,23
ola,wrists_down,4,24
uuuuuh,uuuuuh_hands_on_head,4,24
ola,wrists_down,3,25
uuuuuh,uuuuuh_hands_on_head,4,25
ola,wrists_down,5,26
uuuuuh,uuuuuh_hands_on_head,3,26
ola,wrists_down,4,27
uuuuuh,uuuuuh_hands_on_head,4,27
ola,wrists_down,3,28
uuuuuh,uuuuuh_hands_on_head,4,28
ola,wrists_down,3,29
uuuuuh,uuuuuh_hands_on_head,4,29
ola,wrists_down,3,30
uuuuuh,uuuuuh_hands_on_head,4,30
ola,wrists_down,3,31
ola,wrists_down,3,33
uuuuuh,uuuuuh_hands_on_head,7,31
ola,wrists_down,4,34
uuuuuh,uuuuuh_hands_on_head,7,32
ola,wrists_down,4,35
uuuuuh,uuuuuh_hands_on_head,7,33
ola,wrists_down,4,36
uuuuuh,uuuuuh_hands_on_head,6,34
ola,wrists_down,4,37
uuuuuh,uuuuuh_hands_on_head,6,35
ola,wrists_down,3,38
uuuuuh,uuuuuh_hands_on_head,6,36
ola,wrists_down,3,39
uuuuuh,uuuuuh_hands_on_head,5,37
ola,wrists_down,3,40
uuuuuh,uuuuuh_hands_on_head,5,38
ola,wrists_down,3,41
uuuuuh,uuuuuh_hands_on_head,5,39
ola,wrists_down,4,42
uuuuuh,uuuuuh_hands_on_head,6,40
ola,wrists_down,3,43
uuuuuh,uuuuuh_hands_on_head,6,41
ola,wrists_down,5,44
uuuuuh,uuuuuh_hands_on_head,10,42
ola,wrists_down,3,45
uuuuuh,uuuuuh_hands_on_head,5,43
ola,wrists_down,4,46
uuuuuh,uuuuuh_hands_on_head,6,44
ola,wrists_down,4,47
uuuuuh,uuuuuh_hands_on_head,7,45
ola,wrists_down,3,48
uuuuuh,uuuuuh_hands_on_head,5,46
ola,wrists_down,3,49
uuuuuh,uuuuuh_hands_on_head,6,47
ola,wrists_down,3,50
uuuuuh,uuuuuh_hands_on_head,7,48
ola,wrists_down,3,51
uuuuuh,uuuuuh_hands_on_head,6,49
ola,wrists_down,3,52
uuuuuh,uuuuuh_hands_on_head,5,50
ola,wrists_down,3,53
uuuuuh,uuuuuh_hands_on_head,5,51
ola,wrists_down,4,54
uuuuuh,uuuuuh_hands_on_head,5,52
ola,wrists_down,3,55
uuuuuh,uuuuuh_hands_on_head,5,53
ola,wrists_down,4,56
uuuuuh,uuuuuh_hands_on_head,6,54
ola,wrists_down,4,57
uuuuuh,uuuuuh_hands_on_head,6,55
ola,wrists_down,3,59
uuuuuh,uuuuuh_hands_on_head,5,56
ola,wrists_down,3,60
uuuuuh,uuuuuh_hands_on_head,5,57
ola,wrists_down,4,61
uuuuuh,uuuuuh_hands_on_head,6,58
ola,wrists_down,4,62
uuuuuh,uuuuuh_hands_on_head,7,59
ola,wrists_down,5,63
uuuuuh,uuuuuh_hands_on_head,6,60
ola,wrists_down,4,64
uuuuuh,uuuuuh_hands_on_head,6,61
ola,wrists_down,3,65
uuuuuh,uuuuuh_hands_on_head,5,62
ola,wrists_down,4,66
uuuuuh,uuuuuh_hands_on_head,7,63
ola,wrists_down,4,67
uuuuuh,uuuuuh_hands_on_head,6,64
ola,wrists_down,4,68
uuuuuh,uuuuuh_hands_on_head,5,65
ola,wrists_down,3,69
uuuuuh,uuuuuh_hands_on_head,6,66
ola,wrists_down,3,70
uuuuuh,uuuuuh_hands_on_head,5,67
ola,wrists_down,3,71
uuuuuh,uuuuuh_hands_on_head,5,68
ola,wrists_down,3,72
uuuuuh,uuuuuh_hands_on_head,5,69
ola,wrists_down,4,73
